modelo,config_layers,epoca,loss,mAP,tempo_acumulado_min
8_Layers,"[2, 2, 2, 1, 1]",10,0.21565717355574507,0.34727737307548523,162.84361195166906
8_Layers,"[2, 2, 2, 1, 1]",20,0.1814291948578747,0.39945536851882935,339.42511340777077
8_Layers,"[2, 2, 2, 1, 1]",30,0.15891351749326485,0.40033602714538574,513.8160681565603
8_Layers,"[2, 2, 2, 1, 1]",40,0.14156037064053978,0.43914148211479187,743.7878112713496
8_Layers,"[2, 2, 2, 1, 1]",50,0.12941014525513964,0.43691566586494446,938.4362864732742
8_Layers,"[2, 2, 2, 1, 1]",60,0.12070704324994666,0.44729503989219666,1133.212511173884
8_Layers,"[2, 2, 2, 1, 1]",70,0.1124395613124468,0.44370797276496887,1329.7892280777296
8_Layers,"[2, 2, 2, 1, 1]",80,0.10646185908926672,0.4316132962703705,1526.620857210954
8_Layers,"[2, 2, 2, 1, 1]",90,0.10124924019780529,0.4500679671764374,1723.3459510723749
8_Layers,"[2, 2, 2, 1, 1]",100,0.09737702390082566,0.4472287595272064,1966.4717449188233
