modelo,qtd_imagens,epoca,loss,mAP
Custom_FasterRCNN,160,1,1.7907729506492616,0.0
Custom_FasterRCNN,160,2,0.8558857083320618,0.0
Custom_FasterRCNN,160,3,0.6266941070556641,0.0
Custom_FasterRCNN,160,4,0.47833927124738695,0.0
Custom_FasterRCNN,160,5,0.4523474037647247,0.0
Custom_FasterRCNN,321,1,1.343234698946883,0.0
Custom_FasterRCNN,321,2,0.5899225873191182,0.0
Custom_FasterRCNN,321,3,0.4113536691520272,0.0
Custom_FasterRCNN,321,4,0.399971257622649,0.0
Custom_FasterRCNN,321,5,0.37809309581430944,0.0
