epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1758,1.60774,2.98441,1.57491,0.51131,0.3149,0.32366,0.19912,2.0386,2.86189,1.99862,0.00332211,0.00332211,0.00332211
2,125.081,1.57782,2.22579,1.5833,0.46044,0.32039,0.31119,0.18359,2.047,2.44914,2.08304,0.00661152,0.00661152,0.00661152
3,183.901,1.61386,2.09926,1.62854,0.50368,0.26779,0.26357,0.16338,2.48748,3.05288,2.58432,0.00985692,0.00985692,0.00985692
4,242.919,1.71239,2.08966,1.72223,0.38751,0.27148,0.28802,0.1747,2.21235,3.18046,2.4385,0.009802,0.009802,0.009802
5,301.505,1.63788,1.93312,1.69021,0.40851,0.29564,0.28017,0.17135,2.30232,2.88725,2.25971,0.009736,0.009736,0.009736
6,360.373,1.58765,1.79928,1.63689,0.59838,0.34223,0.34856,0.21391,2.01863,2.78618,2.14397,0.00967,0.00967,0.00967
7,418.593,1.55554,1.74463,1.61279,0.47166,0.26161,0.28572,0.17612,2.21536,2.89562,2.3268,0.009604,0.009604,0.009604
8,477.291,1.51315,1.67627,1.58661,0.54182,0.34801,0.36995,0.23605,2.02514,2.61437,2.21512,0.009538,0.009538,0.009538
9,535.692,1.48928,1.61769,1.56484,0.56955,0.35184,0.38146,0.24286,1.94888,2.37569,2.11801,0.009472,0.009472,0.009472
10,594.076,1.46403,1.58186,1.5458,0.5825,0.36959,0.40181,0.25461,1.92703,2.29969,2.06085,0.009406,0.009406,0.009406
11,652.331,1.44764,1.56268,1.52826,0.55044,0.36969,0.38429,0.25142,1.9458,2.37628,2.091,0.00934,0.00934,0.00934
12,710.686,1.42858,1.51764,1.51575,0.58724,0.36963,0.4002,0.2585,1.89984,2.36137,2.08941,0.009274,0.009274,0.009274
13,768.638,1.41089,1.50396,1.50909,0.63009,0.37503,0.41156,0.27146,1.8772,2.24529,2.01931,0.009208,0.009208,0.009208
14,827.209,1.39866,1.4533,1.48537,0.6044,0.38258,0.41003,0.27052,1.86116,2.2269,2.02326,0.009142,0.009142,0.009142
15,885.679,1.38161,1.45051,1.47755,0.57527,0.37322,0.39797,0.26642,1.8758,2.32779,2.00799,0.009076,0.009076,0.009076
16,945.32,1.37461,1.42472,1.46923,0.57796,0.37046,0.40811,0.26868,1.87526,2.21127,2.04481,0.00901,0.00901,0.00901
17,1017.99,1.35725,1.40896,1.46236,0.59101,0.38856,0.41533,0.27338,1.9101,2.22071,2.09334,0.008944,0.008944,0.008944
18,1092.29,1.34905,1.38256,1.45343,0.58849,0.39724,0.42169,0.27878,1.86574,2.22231,2.03838,0.008878,0.008878,0.008878
19,1166.59,1.34391,1.3867,1.4487,0.65133,0.38521,0.42973,0.28645,1.84651,2.26809,2.01686,0.008812,0.008812,0.008812
20,1240.66,1.3277,1.35846,1.43992,0.61708,0.4015,0.42541,0.27935,1.83031,2.16571,2.00348,0.008746,0.008746,0.008746
21,1315.05,1.32864,1.345,1.43229,0.62774,0.38892,0.41995,0.27567,1.85028,2.22341,2.00004,0.00868,0.00868,0.00868
22,1382.08,1.31678,1.33322,1.4277,0.60758,0.40295,0.43163,0.28759,1.82287,2.19814,2.01448,0.008614,0.008614,0.008614
23,1440.15,1.31102,1.32682,1.41976,0.60335,0.40587,0.43441,0.29427,1.85059,2.20813,2.02985,0.008548,0.008548,0.008548
24,1498.38,1.30373,1.30918,1.41676,0.62169,0.39478,0.42705,0.28472,1.87933,2.21165,2.02938,0.008482,0.008482,0.008482
25,1556.61,1.28598,1.30216,1.41048,0.60741,0.40458,0.43862,0.29797,1.79261,2.14426,1.96604,0.008416,0.008416,0.008416
26,1615.01,1.27571,1.28793,1.40187,0.6134,0.40264,0.43063,0.28523,1.81765,2.19637,2.00496,0.00835,0.00835,0.00835
27,1673.41,1.28323,1.28128,1.39973,0.62329,0.39189,0.42979,0.28889,1.85368,2.22095,2.0186,0.008284,0.008284,0.008284
28,1731.96,1.26731,1.26096,1.39565,0.61205,0.41317,0.43939,0.29752,1.80855,2.15933,1.98978,0.008218,0.008218,0.008218
29,1790.54,1.27078,1.25787,1.39052,0.65228,0.39095,0.42971,0.29336,1.80049,2.17329,2.00115,0.008152,0.008152,0.008152
30,1848.81,1.26096,1.24538,1.38604,0.63529,0.41706,0.45513,0.30452,1.79721,2.1029,2.00548,0.008086,0.008086,0.008086
31,1907.61,1.25352,1.24435,1.38275,0.63877,0.41864,0.43994,0.29538,1.80026,2.10469,2.02508,0.00802,0.00802,0.00802
32,1966.25,1.25264,1.23164,1.3765,0.62978,0.41552,0.44691,0.30138,1.79177,2.13468,1.98288,0.007954,0.007954,0.007954
33,2024.68,1.24109,1.22221,1.37258,0.62408,0.39725,0.42847,0.29464,1.83652,2.1745,2.04245,0.007888,0.007888,0.007888
34,2082.97,1.24208,1.2284,1.37276,0.61237,0.41648,0.44427,0.30102,1.76073,2.11103,1.98291,0.007822,0.007822,0.007822
35,2141.11,1.22351,1.2,1.36329,0.61732,0.40464,0.43983,0.30013,1.81582,2.0769,1.99554,0.007756,0.007756,0.007756
