epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.472,1.67464,2.65475,1.65806,0.37784,0.36987,0.36336,0.21328,1.92772,3.42696,1.90555,0.000332717,0.000332717,0.000332717
2,236.334,1.60567,1.92829,1.63789,0.51887,0.47579,0.50348,0.3045,1.80402,1.7895,1.90913,0.000622091,0.000622091,0.000622091
3,372.129,1.58744,1.78602,1.62965,0.50126,0.42799,0.47662,0.28143,1.94939,2.15197,1.99777,0.000867465,0.000867465,0.000867465
4,508.204,1.54416,1.69949,1.59959,0.6005,0.52628,0.57388,0.35232,1.83305,1.56332,1.90983,0.000802,0.000802,0.000802
5,628.494,1.49398,1.62203,1.55352,0.60653,0.55015,0.58876,0.37932,1.70349,1.48635,1.7826,0.000736,0.000736,0.000736
6,797.943,1.45597,1.44156,1.52258,0.61569,0.60313,0.62277,0.39731,1.66986,1.30328,1.78216,0.00067,0.00067,0.00067
7,910.91,1.39677,1.34118,1.47821,0.66287,0.61657,0.6499,0.4186,1.62557,1.16771,1.75736,0.000604,0.000604,0.000604
8,1097.14,1.34265,1.27514,1.4366,0.66007,0.60216,0.64706,0.43001,1.57994,1.1877,1.76434,0.000538,0.000538,0.000538
9,1208.65,1.30352,1.20988,1.40648,0.67104,0.62614,0.65636,0.44168,1.53057,1.10493,1.75697,0.000472,0.000472,0.000472
10,1320.21,1.25998,1.15149,1.3714,0.66555,0.63864,0.65818,0.44909,1.51996,1.09941,1.73764,0.000406,0.000406,0.000406
11,1501.98,1.21977,1.11559,1.34539,0.66654,0.65504,0.66746,0.45946,1.49615,1.09883,1.74438,0.00034,0.00034,0.00034
12,1613.33,1.18075,1.06264,1.32089,0.67005,0.66189,0.67236,0.46594,1.48332,1.04084,1.72887,0.000274,0.000274,0.000274
13,1786.81,1.14204,1.02005,1.29104,0.67346,0.66637,0.66939,0.46823,1.45867,1.04516,1.70849,0.000208,0.000208,0.000208
14,1898.44,1.11018,0.99291,1.27673,0.68614,0.67806,0.68354,0.47573,1.43963,1.00285,1.72399,0.000142,0.000142,0.000142
15,2011.39,1.07267,0.94904,1.25275,0.69442,0.6863,0.69038,0.48323,1.41874,0.97999,1.70553,7.6e-05,7.6e-05,7.6e-05
